Chinese,pinyin
李大傻,Li Dasha 
孙中山,Sun Zhongshan
蔡志民,Cai Zhimin
伍伯胜,Wu Bosheng
伍连德,Wu Liande 
陈梦桃,Chen Mengtao
徐统雄,Xu Tongxiong
陈瑞麟,Chen Ruilin
杨缵文,Yang Zuanwen 
林忠国,Lin Zhongguo
林义顺,Lin Yishun 
陈烈三,Chen Liesan
符和谦,Fu Heqian
林耀翔,Lin Yao xiang
张永福,Zhang Yongfu 
胡愈之,Hu Yuzhi
池传楹,Chi Chuanying
陈岳书,Chen Yueshu
涂开舆,Tu Kaiyu
马徽祥,Ma Huixiang
李光前,Li Guangqian 
李玉荣,Li Yurong
李成义,Li Chengyi
李成伟,Li Chengwei
刘牡丹,Liu Mudan
周献瑞,Zhou Xianrui 
黄奕欢,Huang Yihuan 
高云览,Gao Yunlan
何葆仁,He Baoren 
陈森茂,Chen Senmao
王锦良,Wang Jinliang
叶清沙,Ye Qingsha
陈嘉庚,Chen Jiageng 
陈六使,Chen Liushi 
陈敬贤,Chen Jingxian
陈笃山,Chen Dushan
陈赐曲,Chen Ciqu
陈共存,Chen Gongcun
陈丽好,Chen Lihao
陈万安,Chen Wanan
叶玉堆,Ye Yudui
林汉河,Lin Hanhe
陈爱礼,Chen Aili
吴瑞甫,Wu Ruifu
陈杞柏,Chen Qibai
陈延谦,Chen Yanqian 
蒋骥甫,Jiang Jifu
赖琼瑶,Lai Qiongyao
庄希泉,Zhuang Xiquan
林庆年,Lin Qingnian
胡少炎,Hu Shaoyan 
林惠祥,Lin Huixiang 
陈维龙,Chen Weilong 
林邦彦,Lin Bangyan 
史联对,Shi Liandui
陈育崧,Chen Yusong 
林文庆,Lin Wenqing 
陈武烈,Chen Wulie 
杨骚,Yang Sao
吴应隆,Wu Yinglong
吴寿珍,Wu Shouzhen 
薛永黍,Xue Yongshu
洪丝丝,Hong Sisi
王源兴,Wang Yuanxing
侯西反,Hou Xifan 
李约瑟,Li Yuese
白清泉,Bai Qingquan 
蔡金吉,Cai Jinji 
蔡金钟,Cai Jinzhong 
曹亚志,Cao Yazhi 
陈成宝,Chen Chengbao 
陈楚楠,Chen Chunan 
陈笃生,Chen Dusheng
陈恭锡,Chen Gongxi 
陈金声,Chen Jinsheng 
陈金钟,Chen Jinzhong 
陈明水,Chen Mingshui 
陈齐贤,Chen Qixian 
陈人浩,Chen Renhao 
陈若锦,Chen Roujin 
陈诗武,Chen Shiwu 
陈思敏,Chen Simin 
陈送,Chen Song 
陈泰,Chen Tai 
